date,price,market_cap,total_volume
2024-09-16,131.62267074556308,61583690049.17375,1781296503.1532538
2024-09-17,131.52040183855297,61587188878.89927,2079969051.5704038
2024-09-18,131.52137869559544,61598080482.36476,2150547014.163277
2024-09-19,133.61385947184837,62403271563.93473,2755309741.192964
2024-09-20,142.68574337456613,66808347524.87485,3564421946.2642255
2024-09-21,146.47882774731306,68638372124.58108,3882733732.26317
2024-09-22,149.6684323230078,70140329689.73108,1873292317.7490916
2024-09-23,144.8397327948964,67842797097.467896,2044307162.0407553
2024-09-24,144.88610360985587,67870222047.840904,2886324907.6015005
2024-09-25,152.88718767415355,71709338801.75752,3787418563.3946958
2024-09-26,148.1082936254362,69291597151.69516,2721186645.010609
2024-09-27,155.466115622881,72884471285.93079,3823684872.5730457
2024-09-28,157.79795876913818,73978003988.83308,3684393153.83145
2024-09-29,156.9590627676465,73518555009.73824,1727901443.7016873
2024-09-30,158.623421883811,74369588837.65268,2258758247.1894245
2024-10-01,152.54403421201002,71395922727.94426,2919586309.5452104
2024-10-02,145.20896405799175,68058487039.17453,4888868006.422661
2024-10-03,140.44843275006326,65807677885.54672,3403092048.7701364
2024-10-04,136.65393647537826,64050560287.44469,3660493468.511928
2024-10-05,143.16476802180077,67069277149.62741,3107174327.531866
2024-10-06,142.74066530825795,66856779428.43124,1404635947.7139452
2024-10-07,146.3485360445286,68620543171.31388,1447038882.2257159
2024-10-08,144.21265658625913,67824969530.69777,3411951971.0080686
2024-10-09,143.4338504886754,67328950381.83993,2021753886.7147253
2024-10-10,139.32635039743118,65433504789.60537,2070835887.6785858
2024-10-11,138.76215517070165,65104986869.39701,2066229153.7766125
2024-10-12,145.3183432059626,68238430125.58685,2171464128.91537
2024-10-13,146.58106227732287,68817502222.73967,1342624320.0323367
2024-10-14,147.49229086781492,69243494227.1722,1681570122.0230145
2024-10-15,157.3459292988939,73962264985.11276,3436470403.8856783
2024-10-16,154.62263332245095,72639268353.59418,4033304497.2522097
2024-10-17,154.2635899099486,72422733078.47534,2755639617.513603
2024-10-18,150.27306080375143,70573405283.51457,2717600021.312216
2024-10-19,155.0727514171131,72886877673.2116,2035291815.7684128
2024-10-20,159.59268197009004,74964939765.94617,1863265086.5618672
2024-10-21,166.573580832598,78229210681.92538,3153223457.134059
2024-10-22,166.37603410566598,78180519224.39232,4851472927.708045
2024-10-23,167.21134937308716,78495515410.02502,4409925954.917367
2024-10-24,171.31390405727439,80605199376.19403,4820717293.719623
2024-10-25,177.37306125678103,83303181938.57568,4352868535.962914
2024-10-26,164.34475959360174,77285778632.20319,6060843280.997682
2024-10-27,170.56035339294928,80185439054.50378,3465680935.5464296
2024-10-28,176.62596685410173,83135834565.19875,3262906486.5268407
2024-10-29,178.14045831001073,83861396528.21255,4573928546.776399
2024-10-30,179.3686111316114,84365189646.56198,4626744759.960895
2024-10-31,175.07910306095894,82365474416.0372,3787670946.354799
2024-11-01,168.4025224117599,79289455541.87051,3406710809.991008
2024-11-02,166.28821025376803,78250082081.93033,3797335906.931423
2024-11-03,165.99502794396105,78131615349.70734,1957197289.8022513
2024-11-04,162.66791799614072,76639755911.6,3328092038.7950063
2024-11-05,157.6072230849172,74183140424.87337,3431380035.9552183
2024-11-06,166.51143603878933,78482680246.56433,4231343887.3657613
2024-11-07,187.1685353309579,88185066303.67917,12310513296.170946
2024-11-08,196.20253922973225,92394882481.30789,6091288676.382452
2024-11-09,199.83336694253737,94211532387.97975,7260188189.931466
2024-11-10,200.1685708629758,94841594020.38661,4159056437.727218
2024-11-11,210.18784246643875,99044422018.77545,11110901193.487217
2024-11-12,222.64379026281208,105178890848.891,12984443505.89922
2024-11-13,213.0672905358662,100554180075.78313,13290465438.161457
2024-11-14,215.0830227659504,101553234625.10576,13805972977.973513
2024-11-15,209.3680513303875,98608091950.04749,10550722956.667837
2024-11-16,219.08569006216123,103343063143.62659,7498818405.350817
2024-11-17,216.05467211977268,101970934386.94557,5969522661.832492
2024-11-18,237.4665536612789,112583245508.81412,12972061001.980022
2024-11-19,239.77742042710136,113790106211.8517,10983854913.148941
2024-11-20,237.91328769126025,112928994362.1699,8433368277.4585285
2024-11-21,236.04012432804112,112008978842.06454,8823415601.787249
2024-11-22,257.2507185771503,122060813280.85324,14028640651.231201
2024-11-23,256.24790229652683,121664259170.88939,9312488228.35439
2024-11-24,254.69897355925355,120859540109.97667,8833978840.183693
2024-11-25,253.63893250552624,120502230128.64162,6901354952.3071165
2024-11-26,234.5375215535424,111344542068.44252,8666830055.465332
2024-11-27,230.77914119497484,109620678337.06673,9750668817.715805
2024-11-28,242.46678684660802,115105327487.59502,7109836475.670383
2024-11-29,237.65273808614407,112826136421.60674,5255693436.08845
2024-11-30,243.70089664594224,115695831971.57478,5755025280.657502
2024-12-01,238.16347667858562,113136826188.84282,4804502975.567071
2024-12-02,237.54718827599987,112858141484.31874,5045595846.945474
2024-12-03,225.5283610124218,107159640532.60336,9899598134.99005
2024-12-04,234.99258635351788,111849188040.85468,10452192112.243505
2024-12-05,229.06669921453178,108895156641.66345,8783744907.42495
2024-12-06,237.3008587229224,112780864777.68202,12602226714.283775
2024-12-07,237.00646868253727,112628691231.92856,8922633455.40031
2024-12-08,238.89329739813545,113839345705.58537,5251587540.533853
2024-12-09,237.57854563045439,113135754973.99297,4395374812.781921
2024-12-10,217.61737842270807,103658784770.72432,11429229527.743338
2024-12-11,213.52687206332865,101631048226.2473,11187514118.859241
2024-12-12,227.0731413756734,108729401497.31157,7555103206.1240225
2024-12-13,227.02574746034202,108699878063.44142,6550517085.993641
2024-12-14,224.59546331682483,107552367996.59578,5161260053.695949
2024-12-15,219.871836259502,105315505829.8883,3877459092.60342
2024-12-16,224.53658892974883,107667694926.24757,3942318066.518842
2024-12-17,216.51544960024825,103890617385.6761,6624387280.0088625
2024-12-18,222.74032965988914,106838498036.11574,7985124597.628129
2024-12-19,205.36330239790396,98187529554.2457,8480297085.511605
2024-12-20,194.9019815694289,93450456552.31743,10468690590.802677
2024-12-21,194.12198450453806,92885810388.18964,12107653719.181095
2024-12-22,181.0289078386085,86608023116.47685,6815137488.7062845
2024-12-23,180.15299381882627,86503599316.97266,5182484546.123343
2024-12-24,189.84218617656558,91042236757.00714,6301604625.525055
2024-12-25,197.50098597289022,94580217212.31563,4227931012.2157845
2024-12-26,197.3576592740719,94663647605.30154,3348485302.259563
2024-12-27,188.14456627233477,90223406707.14066,3632161406.3318877
2024-12-28,183.74866385462855,88113693164.8477,3493249464.36059
2024-12-29,194.8276511169169,93472385728.09871,2617139754.420275
2024-12-30,189.9284130164687,91097223580.56879,2637965244.6069903
2024-12-31,190.70066508822853,91400962709.76645,3958275830.342855
2025-01-01,189.45168366761857,91478338043.51134,3962483816.1795225
2025-01-02,193.64679144177083,93458487148.00087,2824600478.597266
2025-01-03,207.87862676897498,100434907190.98921,5084254052.257431
2025-01-04,217.647289485303,105094794982.75977,4911221653.277528
2025-01-05,216.68364826265568,104689355900.12187,3044194454.6550207
2025-01-06,213.44823541657385,103130316780.37645,3048234520.4287724
2025-01-07,218.4209767110049,105522704111.37778,4309097910.341224
2025-01-08,202.492545725036,97995322629.92308,5199767125.738103
2025-01-09,197.45206766283226,95682675885.83002,5972330799.666177
2025-01-10,185.0111350868991,89422935371.9058,4609352627.060508
2025-01-11,187.8201167474825,90863602526.64655,4489439743.585478
2025-01-12,188.0632507646954,91151211516.5533,2634148745.1065474
2025-01-13,188.39194289058088,91207532007.52103,1635265225.559339
2025-01-14,183.11428850097792,88705877704.07474,6287216536.189147
2025-01-15,187.70452520232413,90966038336.3823,3315788782.9493647
2025-01-16,205.75854800567018,99617521322.55345,4804084650.374077
2025-01-17,211.23399374041628,102762327812.58186,7068314924.706724
2025-01-18,219.77905400813702,106975781135.88028,5970704168.89648
2025-01-19,262.5615764589647,127785165817.10095,25509863876.61015
2025-01-20,251.97488550305266,122020537308.0902,27745408600.276928
2025-01-21,242.47150410221352,118038765211.23405,24105137275.239193
2025-01-22,250.3984908388754,121552327585.60405,12579840532.32276
2025-01-23,256.1143343782641,124606314246.36227,10328230618.34812
2025-01-24,253.49503131499628,123417388987.169,10816185398.469212
2025-01-25,253.62637885441316,123361234528.28262,8592029753.25568
2025-01-26,257.0742996969564,125148284070.78894,5803289041.239068
2025-01-27,241.06731630326192,117303806305.96823,4718944732.494511
2025-01-28,234.97914713600687,114276592039.16579,12684970731.866884
2025-01-29,226.88945614638288,110398046173.44064,5786086231.183104
2025-01-30,228.6145425527223,111355015372.82307,6211589569.140341
2025-01-31,239.04719726337646,116559779515.8497,5322441765.57196
2025-02-01,231.50782299297455,112643737226.91638,4767010236.438659
2025-02-02,214.46366422580272,104469275144.33444,4126022505.958027
2025-02-03,202.32492853599265,98398368500.85646,9577730751.60321
2025-02-04,215.95147229807475,105205583844.172,17185125725.03428
2025-02-05,207.42406393975517,100802812440.85353,8488460261.020004
2025-02-06,196.21787573260255,95550201539.32951,4519102616.629987
2025-02-07,189.38932513491977,92031851837.88425,4544519196.979243
2025-02-08,192.2709679394336,93773950310.2403,5321325630.808724
2025-02-09,199.70939394589394,97430610890.80075,2738591550.9889145
2025-02-10,200.44634668796408,97797330676.8804,3575183754.783349
2025-02-11,200.0458466193684,97602797576.9777,4877446867.21056
2025-02-12,197.92915264031842,96650663515.04695,4610068875.979272
2025-02-13,196.60301392852935,95802342588.48465,4991943969.554793
2025-02-14,194.2631701900725,94843692266.1009,3243643748.254954
2025-02-15,199.65011966060425,97468827982.87822,4307573002.935994
2025-02-16,194.4254509858272,94916725048.10495,2126185023.7187572
2025-02-17,188.165584495931,91860796549.96172,2477404625.155988
2025-02-18,177.91997195388805,86934660078.68405,4953743554.608888
2025-02-19,169.10718217289786,82487856965.56555,7430021942.540908
2025-02-20,169.26443436615673,82688920914.07486,4126508611.428817
2025-02-21,176.02074183930708,86011244818.54909,3748737861.764053
2025-02-22,169.00123201382314,82609623068.92926,5320752621.586434
2025-02-23,172.21280391506767,84180442889.18811,2446840289.512584
2025-02-24,168.09302650361454,82111049206.9718,1845951247.1170418
2025-02-25,141.16593031186233,69785445476.4441,8204544974.98999
2025-02-26,144.3563354963687,71703011109.95712,10792855904.5099
2025-02-27,134.6628545613439,67080997138.50677,5565468106.450874
2025-02-28,137.60648163669737,68562002291.54892,4247821646.488742
2025-03-01,148.17466304440643,73865234147.56163,8773643463.195835
2025-03-02,143.4002225931321,72725965137.73221,3750217492.258566
2025-03-03,178.17413183106032,90446325718.02034,13105437774.765995
2025-03-04,142.5141267061424,72549477478.20894,10365994673.49476
2025-03-05,145.06190940041165,73677404621.18243,8959390661.47582
2025-03-06,146.1815871653316,74254605878.29288,5058439503.511892
2025-03-07,143.45134750836067,72855104265.59047,4945954333.278534
2025-03-08,139.1826626278542,70789658072.88582,7016301953.403862
2025-03-09,136.88210638232243,69641393306.39473,2514068553.482356
2025-03-10,126.63426805755283,64443868119.22886,3801194130.62927
2025-03-11,118.78644366084116,60550984692.33613,5864031854.074184
2025-03-12,125.4287680235315,63868692267.70004,6029007255.049647
2025-03-13,126.56536487567297,64342608562.247406,4689543463.448166
2025-03-14,123.23770752728635,62750805255.11328,3271148359.248695
2025-03-15,133.5545345544276,68090655259.91155,3701658672.5857406
2025-03-16,135.83808085318316,69171954733.32257,2173510694.828497
2025-03-17,126.16514527624146,64335280377.63734,2798721596.9139237
2025-03-18,128.27980954134415,65460614429.259926,2835104845.2985606
2025-03-19,125.34406014353017,63883571506.45802,2936759432.6961746
