date,price,market_cap,total_volume,source
2017-11-06,1.571,,189486.69913999998,binance
2017-11-07,1.8,,241433.51400000002,binance
2017-11-08,1.9889,,690725.5981139999,binance
2017-11-09,1.99,,571204.028,binance
2017-11-10,1.7133,,830366.09337,binance
2017-11-11,1.655,,428377.50235,binance
2017-11-12,1.49,,681167.9828,binance
2017-11-13,1.68,,280174.8264,binance
2017-11-14,1.5911,,282016.826595,binance
2017-11-15,1.5532,,462291.869688,binance
2017-11-16,1.5599,,308906.466634,binance
2017-11-17,1.5041,,630889.600978,binance
2017-11-18,1.6699,,287389.556214,binance
2017-11-19,1.6,,287522.592,binance
2017-11-20,1.64,,261968.9424,binance
2017-11-21,1.5874,,656306.355138,binance
2017-11-22,1.6158,,317436.222396,binance
2017-11-23,1.57,,289599.8293,binance
2017-11-24,1.7292,,1113982.768536,binance
2017-11-25,1.87,,889078.5596,binance
2017-11-26,1.8388,,356113.518888,binance
2017-11-27,1.9532,,938894.8998359999,binance
2017-11-28,1.9249,,692032.232906,binance
2017-11-29,1.7565,,1643625.992625,binance
2017-11-30,1.95,,1458830.2170000002,binance
2017-12-01,2.0527,,659853.3059560001,binance
2017-12-02,2.0797,,501521.06919599994,binance
2017-12-03,2.2617,,782563.1272199999,binance
2017-12-04,2.55,,981644.1494999999,binance
2017-12-05,2.612,,1119648.08764,binance
2017-12-06,2.5134,,953422.172442,binance
2017-12-07,2.6625,,1420471.5731249999,binance
2017-12-08,2.79,,1812954.1365,binance
2017-12-09,2.65,,1266239.3239999998,binance
2017-12-10,2.4619,,1384245.5458230001,binance
2017-12-11,2.687,,1025374.1128499999,binance
2017-12-12,2.5547,,1384304.865824,binance
2017-12-13,2.719,,1909136.14317,binance
2017-12-14,3.1519,,3147134.6108709997,binance
2017-12-15,4.12,,3788645.6216,binance
2017-12-16,4.6378,,3597109.1706620003,binance
2017-12-17,5.999,,9332416.57796,binance
2017-12-18,6.0,,8581026.42,binance
2017-12-19,5.6999,,10173583.533947,binance
2017-12-20,5.1502,,7196385.01791,binance
2017-12-21,5.1596,,5141792.982096001,binance
2017-12-22,4.2912,,6863652.787392,binance
2017-12-23,4.4,,4243802.728,binance
2017-12-24,5.181,,5425061.10795,binance
