date,price,market_cap,total_volume,source
2017-08-17,4285.08,,3407282.9774751603,binance
2017-08-18,4108.37,,4929584.947169679,binance
2017-08-19,4139.98,,1578614.7926247397,binance
2017-08-20,4086.29,,1908636.68196838,binance
2017-08-21,4016.0,,2778040.12896,binance
2017-08-22,4040.0,,3905406.82632,binance
2017-08-23,4114.01,,4118685.8397756503,binance
2017-08-24,4316.01,,3398507.2121355305,binance
2017-08-25,4280.68,,2455452.5838632,binance
2017-08-26,4337.44,,989405.0584659199,binance
2017-08-27,4310.01,,1511488.54827585,binance
2017-08-28,4386.69,,2648865.97849104,binance
2017-08-29,4587.48,,2768750.74504944,binance
2017-08-30,4555.14,,3682688.43753294,binance
2017-08-31,4724.89,,2631559.62420178,binance
2017-09-01,4834.91,,2710771.4196370603,binance
2017-09-02,4472.14,,4155282.5976433004,binance
2017-09-03,4509.08,,3116749.1340778396,binance
2017-09-04,4100.11,,5718196.32830754,binance
2017-09-05,4366.47,,5366121.59439579,binance
2017-09-06,4619.77,,3729834.7204630207,binance
2017-09-07,4691.61,,2347822.27500975,binance
2017-09-08,4282.8,,4849221.9110088,binance
2017-09-09,4258.81,,2805631.4238071204,binance
2017-09-10,4130.37,,2727585.96386175,binance
2017-09-11,4208.47,,2945882.98038055,binance
2017-09-12,4163.72,,3662534.3518266804,binance
2017-09-13,3944.69,,3603326.56663605,binance
2017-09-14,3189.02,,5309787.00105786,binance
2017-09-15,3700.0,,7284806.020400001,binance
2017-09-16,3714.95,,4820385.20719735,binance
2017-09-17,3699.99,,2524026.6552878995,binance
2017-09-18,4035.01,,4156086.34598955,binance
2017-09-19,3910.04,,3528154.71767516,binance
2017-09-20,3900.0,,2811646.7964,binance
2017-09-21,3609.99,,3615961.22669916,binance
2017-09-22,3595.87,,3016814.19866475,binance
2017-09-23,3780.0,,2845556.74998,binance
2017-09-24,3660.02,,2421602.4201278,binance
2017-09-25,3920.75,,2854285.2709947503,binance
2017-09-26,3882.35,,2044942.40032945,binance
2017-09-27,4193.0,,2633920.860438,binance
2017-09-28,4174.5,,3547428.8392124996,binance
2017-09-29,4174.69,,6689145.717909849,binance
2017-09-30,4378.51,,3154073.61529733,binance
2017-10-01,4378.48,,3182995.9554988,binance
