date,price,market_cap,total_volume,source
2018-04-17,0.2426,,16366352.340024,binance
2018-04-18,0.262,,8207961.09698,binance
2018-04-19,0.27004,,13734229.0586088,binance
2018-04-20,0.30108,,21402053.9656092,binance
2018-04-21,0.28668,,26580924.5654388,binance
2018-04-22,0.2816,,13712182.094336001,binance
2018-04-23,0.28788,,9886162.173498001,binance
2018-04-24,0.30853,,27930005.227008704,binance
2018-04-25,0.2687,,33503802.706862,binance
2018-04-26,0.29326,,19973828.703747604,binance
2018-04-27,0.28445,,19849297.003076997,binance
2018-04-28,0.35676,,60270276.7238148,binance
2018-04-29,0.36254,,59036094.0802546,binance
2018-04-30,0.34145,,31803546.024915498,binance
2018-05-01,0.35504,,42735710.970120005,binance
2018-05-02,0.37199,,24349604.7230171,binance
2018-05-03,0.36716,,32429924.567094002,binance
2018-05-04,0.358,,20072798.43446,binance
2018-05-05,0.36502,,17142321.2060056,binance
2018-05-06,0.34654,,22153216.8921664,binance
2018-05-07,0.33046,,21169577.8325434,binance
2018-05-08,0.32213,,14529677.5187813,binance
2018-05-09,0.31884,,19333038.519681603,binance
2018-05-10,0.29121,,11127285.890300402,binance
2018-05-11,0.25573,,36128224.210819095,binance
2018-05-12,0.2655,,38734225.68879,binance
2018-05-13,0.27718,,22400132.209973596,binance
2018-05-14,0.26655,,24328835.912892003,binance
2018-05-15,0.25394,,11549778.2889648,binance
2018-05-16,0.25237,,13225792.563412597,binance
2018-05-17,0.23919,,9607954.414632,binance
2018-05-18,0.24324,,10231133.347664401,binance
2018-05-19,0.24116,,7863540.163773601,binance
2018-05-20,0.25556,,12088166.122764401,binance
2018-05-21,0.24563,,10256079.282526,binance
2018-05-22,0.22,,10214309.353600001,binance
2018-05-23,0.1978,,21701516.74628,binance
2018-05-24,0.2073,,16154268.515859,binance
2018-05-25,0.19788,,14910654.883958401,binance
2018-05-26,0.19504,,14663356.328492798,binance
2018-05-27,0.19186,,13250951.111288,binance
2018-05-28,0.17249,,16826896.2953486,binance
2018-05-29,0.20164,,30695732.5689992,binance
2018-05-30,0.20779,,35333148.134559,binance
2018-05-31,0.2233,,37682488.186266005,binance
2018-06-01,0.22038,,26519506.372344,binance
2018-06-02,0.22648,,25492940.691035196,binance
2018-06-03,0.22659,,26854735.543053605,binance
2018-06-04,0.21243,,24970001.912289903,binance
2018-06-05,0.21839,,27530756.5924771,binance
2018-06-06,0.21452,,20507668.37264,binance
2018-06-07,0.21019,,18600950.2089773,binance
2018-06-08,0.2043,,17985929.954562,binance
2018-06-09,0.2011,,15604211.781341001,binance
2018-06-10,0.17346,,24669503.812245604,binance
2018-06-11,0.17897,,15939162.619202897,binance
2018-06-12,0.16297,,15096063.6415497,binance
2018-06-13,0.15791,,19545240.035318498,binance
2018-06-14,0.17062,,34342791.042228,binance
2018-06-15,0.16097,,18413646.484591,binance
2018-06-16,0.16191,,12772104.699879,binance
2018-06-17,0.16044,,13421694.388368001,binance
2018-06-18,0.1637,,17435762.056450002,binance
2018-06-19,0.167,,15460779.205400001,binance
2018-06-20,0.16182,,16345459.786788,binance
2018-06-21,0.15779,,12891663.101271002,binance
2018-06-22,0.13843,,18089434.6288054,binance
2018-06-23,0.1371,,12025020.06483,binance
2018-06-24,0.13093,,18840756.8882943,binance
2018-06-25,0.13521,,15236104.885248,binance
2018-06-26,0.12519,,8015406.602345999,binance
2018-06-27,0.12752,,12002619.806351999,binance
2018-06-28,0.11825,,11688591.600949999,binance
2018-06-29,0.12534,,15981100.015698,binance
2018-06-30,0.13784,,22796759.691432,binance
2018-07-01,0.14211,,21945353.206338,binance
2018-07-02,0.15448,,29093776.011008002,binance
2018-07-03,0.14966,,27696513.045291997,binance
2018-07-04,0.15112,,15559470.430464001,binance
2018-07-05,0.14736,,18409440.285552,binance
2018-07-06,0.14501,,13880366.843165,binance
2018-07-07,0.14783,,13333494.682192,binance
2018-07-08,0.14481,,13443020.846667,binance
2018-07-09,0.13935,,10531938.88956,binance
2018-07-10,0.12814,,14259823.379188001,binance
2018-07-11,0.13144,,13142717.185031999,binance
2018-07-12,0.1275,,10982763.08325,binance
2018-07-13,0.13768,,21026394.2566,binance
2018-07-14,0.1365,,15705360.816600002,binance
2018-07-15,0.14227,,15559839.636005001,binance
2018-07-16,0.15655,,23475217.920199998,binance
2018-07-17,0.17136,,36520819.072416,binance
2018-07-18,0.18053,,75156417.9408147,binance
2018-07-19,0.18191,,51340861.284718,binance
2018-07-20,0.16129,,40868404.956575,binance
2018-07-21,0.16327,,28567127.942541003,binance
2018-07-22,0.16916,,32026419.010872,binance
2018-07-23,0.16423,,31910335.919099,binance
2018-07-24,0.17349,,41743240.351068,binance
2018-07-25,0.17275,,30457494.00685,binance
2018-07-26,0.164,,24362144.0268,binance
2018-07-27,0.1659,,27556853.044979997,binance
2018-07-28,0.1641,,15356077.25139,binance
2018-07-29,0.16268,,14078180.609052,binance
2018-07-30,0.15327,,18060051.677031,binance
2018-07-31,0.14175,,19742957.6904,binance
2018-08-01,0.13984,,17562343.147871997,binance
2018-08-02,0.13039,,17184362.13975,binance
2018-08-03,0.12947,,17969451.820848,binance
2018-08-04,0.12639,,12860161.102173,binance
2018-08-05,0.13024,,12566149.146496,binance
2018-08-06,0.12937,,13392697.390076,binance
2018-08-07,0.12365,,14514380.413144998,binance
2018-08-08,0.11292,,18713531.682318002,binance
2018-08-09,0.12213,,21652522.460667003,binance
2018-08-10,0.11485,,18753150.471109997,binance
2018-08-11,0.11022,,14643445.777686,binance
2018-08-12,0.11153,,9468892.036915,binance
2018-08-13,0.10104,,11905067.1065928,binance
2018-08-14,0.0935,,16720535.723044999,binance
2018-08-15,0.09361,,17304471.146468002,binance
2018-08-16,0.0946,,11743146.90538,binance
2018-08-17,0.11,,25748938.578,binance
2018-08-18,0.09831,,21028308.201825,binance
2018-08-19,0.10143,,12554599.081563,binance
2018-08-20,0.09174,,12409460.412624,binance
2018-08-21,0.09469,,12530123.529422,binance
2018-08-22,0.08955,,16912342.980855,binance
2018-08-23,0.09232,,11816192.506911999,binance
2018-08-24,0.09381,,11469604.714572001,binance
2018-08-25,0.09413,,11560476.332221001,binance
2018-08-26,0.09306,,9909088.135056,binance
2018-08-27,0.10051,,16841380.006429,binance
2018-08-28,0.10555,,22810645.2432,binance
2018-08-29,0.10535,,23521678.556985,binance
2018-08-30,0.10066,,19425620.11089,binance
2018-08-31,0.1017,,15338443.77198,binance
2018-09-01,0.10699,,21171386.214238,binance
2018-09-02,0.10499,,16823617.684587,binance
2018-09-03,0.10352,,11613721.697951999,binance
2018-09-04,0.10521,,14733451.6371,binance
