date,price,market_cap,total_volume,source
2019-07-05,0.0038701,,7462704.773966,binance
2019-07-06,0.0035,,3537605.0045000003,binance
2019-07-07,0.0035377,,1877153.1194984,binance
2019-07-08,0.003458,,1066605.189104,binance
2019-07-09,0.0034545,,875285.948019,binance
2019-07-10,0.0033421,,806364.7296586001,binance
2019-07-11,0.003209,,650821.763346,binance
2019-07-12,0.0032622,,745812.5576405999,binance
2019-07-13,0.0032532,,360233.147208,binance
2019-07-14,0.0029175,,632101.039545,binance
2019-07-15,0.0030712,,675748.9125376,binance
2019-07-16,0.0027994,,445329.7781372,binance
2019-07-17,0.0028822,,924296.4475668,binance
2019-07-18,0.0030979,,816058.7436715999,binance
2019-07-19,0.0030232,,305934.8493096,binance
2019-07-20,0.0030787,,326379.2213675,binance
2019-07-21,0.0030468,,182451.4878384,binance
2019-07-22,0.0029567,,273736.8209424,binance
2019-07-23,0.0028192,,456175.907872,binance
2019-07-24,0.0028741,,196848.2040321,binance
2019-07-25,0.0028656,,429679.85307839996,binance
2019-07-26,0.0028798,,85005.2106904,binance
2019-07-27,0.0028047,,243331.04327579998,binance
2019-07-28,0.0027932,,137495.60518400001,binance
2019-07-29,0.0027663,,179847.08295180002,binance
2019-07-30,0.0027885,,167335.029576,binance
2019-07-31,0.0028583,,166124.4074332,binance
2019-08-01,0.0029004,,247278.9329352,binance
2019-08-02,0.0028996,,186528.6815568,binance
2019-08-03,0.0028994,,159299.1595328,binance
2019-08-04,0.0029222,,257875.5178212,binance
2019-08-05,0.0030428,,650968.690292,binance
2019-08-06,0.0029557,,381197.0605322,binance
2019-08-07,0.0029856,,348225.0798144,binance
2019-08-08,0.0029635,,216147.548903,binance
2019-08-09,0.002913,,154591.235025,binance
2019-08-10,0.00285,,115021.5255,binance
2019-08-11,0.0028874,,138946.6889768,binance
2019-08-12,0.0028516,,108288.54901080001,binance
2019-08-13,0.0028339,,135135.7060702,binance
2019-08-14,0.0027161,,243010.02108439998,binance
2019-08-15,0.0025916,,216155.70229,binance
2019-08-16,0.002651,,189502.18323300002,binance
2019-08-17,0.0026251,,128216.3627468,binance
2019-08-18,0.002695,,273360.595585,binance
2019-08-19,0.0027816,,309321.2022288,binance
2019-08-20,0.002712,,81061.202688,binance
2019-08-21,0.0026398,,177998.3007386,binance
2019-08-22,0.0026458,,187699.76704039998,binance
2019-08-23,0.0026668,,132470.4871932,binance
2019-08-24,0.0026222,,160385.22412499998,binance
2019-08-25,0.0026237,,157258.6379432,binance
2019-08-26,0.0026409,,198884.673687,binance
2019-08-27,0.0025993,,150274.0275124,binance
2019-08-28,0.0024965,,182875.5477945,binance
2019-08-29,0.0024244,,245224.5470444,binance
2019-08-30,0.0024449,,91713.5948943,binance
2019-08-31,0.0024528,,89130.62884320001,binance
2019-09-01,0.0024603,,88462.9109244,binance
2019-09-02,0.0025882,,138655.076282,binance
2019-09-03,0.0025593,,165535.0274958,binance
2019-09-04,0.0025097,,82292.77689420001,binance
2019-09-05,0.0024909,,110392.3936884,binance
2019-09-06,0.00247,,202136.16241,binance
2019-09-07,0.0024542,,194900.9998096,binance
2019-09-08,0.0024585,,220131.55528650002,binance
2019-09-09,0.0024351,,148541.9376744,binance
2019-09-10,0.0024185,,80342.008908,binance
2019-09-11,0.0023892,,126358.01461800002,binance
2019-09-12,0.0023928,,116153.128092,binance
2019-09-13,0.002399,,84726.663308,binance
