date,price,market_cap,total_volume,source
2017-08-17,302.0,,2123274.52268,binance
2017-08-18,293.96,,2803745.3453816,binance
2017-08-19,290.91,,624350.3816343,binance
2017-08-20,299.1,,750782.4881610001,binance
2017-08-21,323.29,,1687394.5098318001,binance
2017-08-22,309.8,,2464877.502624,binance
2017-08-23,315.74,,2736116.2293606,binance
2017-08-24,323.42,,2184143.2043664004,binance
2017-08-25,327.24,,2331902.2984488,binance
2017-08-26,330.79,,1613489.4906159,binance
2017-08-27,348.13,,1613734.7350295,binance
2017-08-28,346.0,,1480596.8682000001,binance
2017-08-29,374.7,,1136140.703475,binance
2017-08-30,385.93,,1716074.8251544002,binance
2017-08-31,384.79,,1706877.8593545002,binance
2017-09-01,388.46,,1631020.9187164,binance
2017-09-02,343.14,,2827585.8891336,binance
2017-09-03,341.77,,1795530.4285347,binance
2017-09-04,283.77,,1911988.5167997,binance
2017-09-05,312.09,,2604209.8006115993,binance
2017-09-06,335.0,,1837913.8098,binance
2017-09-07,334.49,,1038222.6580505,binance
2017-09-08,302.99,,1489425.1922207,binance
2017-09-09,296.74,,813242.1484028001,binance
2017-09-10,293.5,,1219918.365565,binance
2017-09-11,297.3,,1435853.8955309999,binance
2017-09-12,293.96,,1521629.2693191997,binance
2017-09-13,276.91,,1786409.6451676001,binance
2017-09-14,215.21,,2712067.1143195997,binance
2017-09-15,253.0,,3598645.5109,binance
2017-09-16,249.31,,2583365.2060241,binance
2017-09-17,257.55,,1188473.0694435001,binance
2017-09-18,294.57,,1215387.1331307,binance
2017-09-19,284.0,,531054.01968,binance
2017-09-20,282.0,,299079.98988,binance
2017-09-21,257.0,,491526.84831000003,binance
2017-09-22,264.0,,386631.3,binance
2017-09-23,285.93,,807562.3124196001,binance
2017-09-24,282.0,,1572303.47004,binance
2017-09-25,294.42,,1728386.824647,binance
2017-09-26,287.9,,1314818.5827159998,binance
2017-09-27,309.74,,1709177.4772068001,binance
2017-09-28,302.44,,1996378.9844967998,binance
2017-09-29,292.22,,3240485.7376244003,binance
2017-09-30,304.36,,1223712.235662,binance
2017-10-01,303.95,,1538004.5014409998,binance
2017-10-02,296.5,,1100263.3098549999,binance
2017-10-03,292.48,,1622344.7412096001,binance
2017-10-04,291.99,,1172307.1237608,binance
2017-10-05,294.81,,1006006.7430696,binance
2017-10-06,310.8,,1100550.1317719999,binance
2017-10-07,311.01,,673582.5842676,binance
2017-10-08,311.07,,921057.1110186,binance
2017-10-09,297.19,,1451885.6750497,binance
2017-10-10,298.64,,2015603.3904352,binance
2017-10-11,304.01,,1132341.882063,binance
2017-10-12,303.99,,2379559.5342804003,binance
2017-10-13,337.96,,6058056.642665999,binance
2017-10-14,342.0,,2644331.92398,binance
2017-10-15,337.96,,3383434.8591567995,binance
2017-10-16,335.19,,2903908.8344343,binance
2017-10-17,315.19,,2567772.1026764,binance
2017-10-18,309.7,,3997621.6603800002,binance
2017-10-19,308.66,,2678782.1693974,binance
2017-10-20,304.51,,2661209.6145563996,binance
2017-10-21,298.94,,2568382.2339174,binance
2017-10-22,293.79,,2107375.9209447005,binance
2017-10-23,281.09,,2714987.6058036,binance
2017-10-24,297.38,,4183149.0723912,binance
2017-10-25,294.49,,2857463.7427189,binance
