date,price,market_cap,total_volume,source
2018-05-04,0.8899,,18590201.278418,binance
2018-05-05,0.9028,,15181634.032840002,binance
2018-05-06,0.86483,,13839040.620914001,binance
2018-05-07,0.8249,,14273645.931359999,binance
2018-05-08,0.80667,,10463561.1362106,binance
2018-05-09,0.79481,,11113332.181130901,binance
2018-05-10,0.74558,,7557866.7183734,binance
2018-05-11,0.6761,,21156845.755044002,binance
2018-05-12,0.68522,,12458088.3635942,binance
2018-05-13,0.72999,,12790345.879482301,binance
2018-05-14,0.72694,,15826476.044022402,binance
2018-05-15,0.689,,8923920.042049998,binance
2018-05-16,0.70585,,7893120.1212949995,binance
2018-05-17,0.65849,,6631034.5600786,binance
2018-05-18,0.67766,,6871929.908595801,binance
2018-05-19,0.67339,,4615682.900872501,binance
2018-05-20,0.6994,,5634138.339648,binance
2018-05-21,0.67612,,5346901.3589484,binance
2018-05-22,0.63782,,4826390.7710522,binance
2018-05-23,0.59198,,11885811.2670758,binance
2018-05-24,0.62814,,8928469.962414,binance
2018-05-25,0.60459,,12128442.9363069,binance
2018-05-26,0.60852,,15699856.4178984,binance
2018-05-27,0.60416,,14339786.416128,binance
2018-05-28,0.54689,,16327296.007277898,binance
2018-05-29,0.59998,,18568355.766175598,binance
2018-05-30,0.60149,,18830013.2054743,binance
2018-05-31,0.6114,,20530791.756546002,binance
2018-06-01,0.62151,,21382033.435823698,binance
2018-06-02,0.64269,,23915479.629618,binance
2018-06-03,0.6901,,25632187.987253003,binance
2018-06-04,0.65507,,31633318.9345355,binance
2018-06-05,0.67464,,28678533.365152802,binance
2018-06-06,0.6741,,23139280.492839,binance
2018-06-07,0.67756,,23736159.3087424,binance
2018-06-08,0.6721,,21567422.861842,binance
2018-06-09,0.6574,,20591879.463616,binance
2018-06-10,0.58201,,27755245.944726303,binance
2018-06-11,0.59989,,14243986.0697099,binance
2018-06-12,0.5556,,16297387.38114,binance
2018-06-13,0.52862,,19494328.442553,binance
2018-06-14,0.55769,,19519404.585485,binance
2018-06-15,0.53258,,13688636.225066,binance
2018-06-16,0.53275,,13979669.31465,binance
2018-06-17,0.52617,,17606606.250336003,binance
2018-06-18,0.5387,,18258336.11682,binance
2018-06-19,0.54834,,15823592.854602002,binance
2018-06-20,0.53916,,18699739.65684,binance
2018-06-21,0.53457,,15979318.221786,binance
2018-06-22,0.48216,,20175108.0111336,binance
2018-06-23,0.49005,,13344457.803435,binance
2018-06-24,0.47331,,19619602.2725616,binance
2018-06-25,0.48125,,15268375.815,binance
2018-06-26,0.453,,8004817.134000001,binance
2018-06-27,0.4701,,13948613.61282,binance
2018-06-28,0.44575,,15950875.750924999,binance
2018-06-29,0.45321,,17011471.568928,binance
2018-06-30,0.46796,,17546184.440328,binance
2018-07-01,0.46222,,14641361.192502001,binance
2018-07-02,0.4899,,19534165.703819998,binance
2018-07-03,0.4844,,21474993.16704,binance
2018-07-04,0.49097,,13120135.486711001,binance
2018-07-05,0.4769,,14635720.44571,binance
2018-07-06,0.47698,,12785453.049726,binance
2018-07-07,0.48494,,13861539.120248,binance
2018-07-08,0.47915,,15084111.231595,binance
2018-07-09,0.473,,12624631.8528,binance
2018-07-10,0.44337,,13590030.085497,binance
2018-07-11,0.44872,,12849513.701904,binance
2018-07-12,0.43675,,13268726.831625002,binance
2018-07-13,0.43754,,14512608.627022,binance
2018-07-14,0.43864,,11905383.660071999,binance
2018-07-15,0.44681,,15139240.800137999,binance
2018-07-16,0.48173,,19953027.344693,binance
2018-07-17,0.50728,,24433798.736336,binance
2018-07-18,0.48868,,23821905.625248,binance
2018-07-19,0.47687,,17453709.0472,binance
2018-07-20,0.44439,,18106899.944118,binance
2018-07-21,0.45506,,12961925.126484,binance
2018-07-22,0.44859,,14459108.630447999,binance
2018-07-23,0.44499,,13490490.341601,binance
2018-07-24,0.45885,,19974755.10912,binance
2018-07-25,0.4598,,19610602.606319997,binance
2018-07-26,0.44968,,17106514.490912,binance
2018-07-27,0.4555,,16057732.298899999,binance
2018-07-28,0.45641,,12707982.141193,binance
2018-07-29,0.45315,,14133161.897325,binance
2018-07-30,0.44534,,14313939.208786,binance
2018-07-31,0.4353,,13836050.808780001,binance
2018-08-01,0.44642,,17782461.382685997,binance
2018-08-02,0.42975,,14352132.165975,binance
2018-08-03,0.44033,,19704001.854196,binance
2018-08-04,0.42985,,15085756.615375001,binance
2018-08-05,0.4345,,15191025.584900001,binance
2018-08-06,0.4129,,16755066.16841,binance
2018-08-07,0.37863,,15583370.536792802,binance
2018-08-08,0.33171,,24013484.733436503,binance
2018-08-09,0.3441,,17835680.48487,binance
2018-08-10,0.31897,,12525663.933884,binance
2018-08-11,0.29784,,14512051.081608001,binance
2018-08-12,0.29547,,10454396.539482001,binance
2018-08-13,0.2743,,12005380.083762001,binance
2018-08-14,0.2725,,15287767.477500001,binance
2018-08-15,0.28039,,20377787.724228,binance
2018-08-16,0.29142,,13500195.13233,binance
2018-08-17,0.3672,,31095839.25432,binance
2018-08-18,0.32829,,26298189.673464,binance
2018-08-19,0.34201,,21822400.631833,binance
2018-08-20,0.31499,,16498788.13232,binance
2018-08-21,0.33339,,14624796.059412,binance
2018-08-22,0.3185,,20927385.7793,binance
2018-08-23,0.3263,,14634359.57893,binance
2018-08-24,0.32646,,14041285.886586,binance
2018-08-25,0.32702,,11886911.198144,binance
2018-08-26,0.32276,,10811350.092912,binance
2018-08-27,0.33901,,17245505.213762,binance
2018-08-28,0.35128,,22335507.760608,binance
2018-08-29,0.34494,,19018827.634464003,binance
2018-08-30,0.33518,,14710379.069086,binance
2018-08-31,0.3353,,12227631.478439998,binance
2018-09-01,0.34699,,17185432.822397,binance
2018-09-02,0.34253,,14151382.760363001,binance
2018-09-03,0.33493,,11567156.178637,binance
2018-09-04,0.33116,,14055036.58838,binance
2018-09-05,0.27889,,18793024.347642,binance
2018-09-06,0.30179,,21675560.376558997,binance
2018-09-07,0.2869,,13811220.28349,binance
2018-09-08,0.27679,,11416531.020249,binance
2018-09-09,0.2766,,11023158.129120002,binance
2018-09-10,0.27,,12617928.765,binance
2018-09-11,0.26314,,13230715.618576,binance
2018-09-12,0.2699,,12532626.800579999,binance
2018-09-13,0.27933,,16639444.216977,binance
2018-09-14,0.27571,,12811405.155606002,binance
2018-09-15,0.28031,,9513190.520891001,binance
2018-09-16,0.28122,,9161180.596908001,binance
2018-09-17,0.2706,,13064066.09112,binance
2018-09-18,0.31897,,51579786.60354199,binance
2018-09-19,0.32679,,34226766.065448,binance
2018-09-20,0.44819,,122542759.762082,binance
2018-09-21,0.56405,,394417602.514917,binance
2018-09-22,0.57368,,220324857.06759197,binance
2018-09-23,0.5719,,101098761.49603999,binance
2018-09-24,0.49358,,109065645.70473401,binance
2018-09-25,0.5256,,200530717.55423996,binance
2018-09-26,0.513,,214939792.50390002,binance
2018-09-27,0.54305,,106277152.12514001,binance
2018-09-28,0.54025,,91348099.7209,binance
2018-09-29,0.56876,,123170860.514052,binance
2018-09-30,0.58257,,145514173.519395,binance
2018-10-01,0.5776,,155019586.3848,binance
2018-10-02,0.51692,,84214939.69484401,binance
2018-10-03,0.5293,,90376314.69175999,binance
2018-10-04,0.5294,,64123749.49023999,binance
2018-10-05,0.5211,,52746220.161359996,binance
2018-10-06,0.48964,,69497863.803164,binance
2018-10-07,0.48269,,47779387.453096,binance
