date,price,market_cap,total_volume,source
2020-08-11,3.2985,,5120541.196830001,binance
2020-08-12,3.7558,,6523985.91161,binance
2020-08-13,3.73,,6287881.9651999995,binance
2020-08-14,3.4099,,5026744.287721,binance
2020-08-15,3.173,,3395849.9436,binance
2020-08-16,3.3885,,2263878.976905,binance
2020-08-17,3.11,,2268476.4204,binance
2020-08-18,3.3407,,9063706.420758,binance
2020-08-19,2.8868,,4137488.086368,binance
2020-08-20,3.2038,,4093903.1678160005,binance
2020-08-21,2.9317,,3318379.2100299997,binance
2020-08-22,3.0126,,3522988.004028,binance
2020-08-23,3.25,,3893619.2424999997,binance
2020-08-24,3.3405,,4393412.43843,binance
2020-08-25,3.25,,3734858.9525000006,binance
2020-08-26,3.5684,,8171745.050304,binance
2020-08-27,3.4501,,8325004.357479999,binance
2020-08-28,4.0063,,10344013.562092,binance
2020-08-29,3.9535,,5308934.5446999995,binance
2020-08-30,4.4309,,8045105.329491001,binance
2020-08-31,4.7435,,7101631.98072,binance
2020-09-01,4.3397,,5500894.185972,binance
2020-09-02,4.17,,8348583.3612,binance
2020-09-03,3.5051,,11481348.532526,binance
2020-09-04,3.5301,,7244461.476924,binance
2020-09-05,2.6052,,11531311.778376,binance
2020-09-06,3.0941,,8969049.943431001,binance
2020-09-07,2.9237,,7835759.164129,binance
2020-09-08,2.468,,4013929.7796,binance
2020-09-09,3.6001,,24088708.276198998,binance
2020-09-10,3.4761,,15144987.623226002,binance
2020-09-11,3.3965,,7566168.86671,binance
2020-09-12,3.3316,,3869794.8930519996,binance
2020-09-13,3.2603,,6601388.310423,binance
2020-09-14,3.2641,,10940119.492000999,binance
2020-09-15,2.9295,,4975436.698155,binance
2020-09-16,2.5327,,12376714.755573,binance
2020-09-17,2.8829,,13364395.919998998,binance
2020-09-18,3.1144,,12985323.338712,binance
2020-09-19,3.031,,4807832.395660001,binance
2020-09-20,2.8628,,4170036.298824,binance
2020-09-21,2.7672,,9873035.626632,binance
2020-09-22,2.9082,,9936698.004906,binance
2020-09-23,2.8548,,7885388.560608,binance
2020-09-24,3.1433,,9378667.479032,binance
2020-09-25,3.1937,,7817676.891714001,binance
2020-09-26,3.1287,,4245704.469264,binance
2020-09-27,3.1578,,3106693.722708,binance
2020-09-28,2.9599,,3866026.470585,binance
2020-09-29,2.9505,,2805558.33978,binance
2020-09-30,2.8967,,2093612.606161,binance
2020-10-01,2.8669,,3936430.272371,binance
2020-10-02,2.6232,,7314775.126152,binance
2020-10-03,2.5439,,1391577.482597,binance
2020-10-04,2.5202,,1928959.089042,binance
2020-10-05,2.6522,,2420363.692274,binance
2020-10-06,2.174,,3878471.06742,binance
2020-10-07,2.3005,,4803331.7356,binance
2020-10-08,2.3638,,6522173.180171999,binance
2020-10-09,2.5314,,4755295.122006,binance
2020-10-10,2.3999,,3069328.753973,binance
2020-10-11,2.4227,,2177435.7366159996,binance
2020-10-12,2.5836,,5568657.879036,binance
2020-10-13,2.4062,,4694571.03282,binance
2020-10-14,2.3107,,2600429.083595,binance
2020-10-15,2.2682,,1712284.7979380002,binance
2020-10-16,2.1398,,3309521.948174,binance
2020-10-17,2.2053,,1063504.9326149998,binance
2020-10-18,2.215,,1060810.5909,binance
2020-10-19,2.0592,,1872260.037648,binance
2020-10-20,1.885,,3644019.8704,binance
2020-10-21,1.8887,,6086760.235325,binance
2020-10-22,1.9582,,3181640.455838,binance
2020-10-23,1.959,,3056025.01365,binance
2020-10-24,1.9142,,1432001.209386,binance
2020-10-25,1.7926,,2448451.373674,binance
2020-10-26,1.6799,,3396542.504016,binance
2020-10-27,1.711,,4433458.09486,binance
2020-10-28,1.518,,5092310.54904,binance
2020-10-29,1.4327,,1767418.9072350003,binance
2020-10-30,1.4381,,2015681.356229,binance
2020-10-31,1.5497,,1320328.252126,binance
2020-11-01,1.608,,1544748.09792,binance
2020-11-02,1.4738,,1278872.367566,binance
2020-11-03,1.4118,,1388032.177584,binance
2020-11-04,1.3912,,3562200.794032,binance
2020-11-05,1.4007,,2239008.5287920004,binance
2020-11-06,1.9,,7308439.109999999,binance
2020-11-07,2.0215,,17915767.388545003,binance
2020-11-08,2.1558,,10348585.734336,binance
2020-11-09,2.0299,,6192095.301248,binance
2020-11-10,2.2661,,4802825.276095999,binance
2020-11-11,2.0,,3727372.38,binance
2020-11-12,1.9089,,2905939.257921,binance
2020-11-13,2.0141,,3213867.305528,binance
2020-11-14,1.9182,,2286201.721044,binance
2020-11-15,2.0407,,6832644.170143001,binance
2020-11-16,2.2626,,7222286.082456,binance
2020-11-17,2.1998,,5084003.645830001,binance
2020-11-18,2.1153,,4345628.237148,binance
2020-11-19,2.085,,2902032.1657499997,binance
2020-11-20,2.1033,,3343015.538883,binance
2020-11-21,2.3822,,7059624.6869,binance
2020-11-22,2.1514,,5266900.965650001,binance
2020-11-23,2.2786,,4771754.7077359995,binance
2020-11-24,2.2823,,8067455.872892001,binance
2020-11-25,2.2661,,8152706.296420999,binance
2020-11-26,1.9111,,13001738.317391999,binance
2020-11-27,1.861,,3353971.09652,binance
2020-11-28,1.8868,,2606408.104836,binance
2020-11-29,1.9153,,1652351.604092,binance
2020-11-30,1.9665,,2152570.249665,binance
2020-12-01,1.9738,,4150726.9950320004,binance
2020-12-02,2.1209,,4673930.1512319995,binance
2020-12-03,2.0967,,6672459.097310999,binance
2020-12-04,1.8535,,2641132.5733649996,binance
2020-12-05,1.9795,,2153692.8328,binance
2020-12-06,1.8505,,2083175.1526850003,binance
2020-12-07,1.8272,,1759125.28864,binance
2020-12-08,1.6631,,3819584.5427289996,binance
2020-12-09,1.6592,,3473534.071744,binance
2020-12-10,1.5683,,1664634.2232869999,binance
2020-12-11,1.4389,,2056304.2911750001,binance
2020-12-12,1.4912,,2122933.056576,binance
2020-12-13,1.5701,,2746944.008543,binance
2020-12-14,1.5946,,2397595.018224,binance
2020-12-15,1.7586,,6264254.297196,binance
2020-12-16,1.7829,,5523622.672428,binance
2020-12-17,1.68,,4247141.4888,binance
2020-12-18,1.7014,,1917859.747286,binance
2020-12-19,1.6707,,2225552.768772,binance
2020-12-20,1.5635,,2139302.011965,binance
2020-12-21,1.5331,,1940870.7951449999,binance
2020-12-22,1.49,,3032834.357,binance
2020-12-23,1.198,,5213163.9682,binance
2020-12-24,1.3612,,2429697.175684,binance
2020-12-25,1.4464,,2012423.8920959998,binance
2020-12-26,1.3258,,1209384.591114,binance
2020-12-27,1.3037,,2830200.3092650003,binance
2020-12-28,1.5172,,3275059.128804,binance
2020-12-29,1.6704,,8135022.740544001,binance
2020-12-30,1.535,,3332939.7897999994,binance
2020-12-31,1.5073,,3270279.304655,binance
2021-01-01,1.8421,,8145750.450045001,binance
2021-01-02,1.7999,,9456349.934038,binance
2021-01-03,2.1779,,18116515.147027,binance
2021-01-04,2.4909,,19431049.58532,binance
2021-01-05,2.1636,,14500462.323564002,binance
2021-01-06,1.9414,,16407799.313058002,binance
2021-01-07,2.3635,,72939988.24824,binance
2021-01-08,3.2214,,96211610.232738,binance
2021-01-09,3.3829,,33427073.084085,binance
2021-01-10,3.449,,20072536.795989998,binance
2021-01-11,3.1016,,27156657.625912,binance
2021-01-12,3.6354,,25723769.321472,binance
2021-01-13,3.5242,,18056787.77036,binance
2021-01-14,3.2921,,21142227.442133002,binance
2021-01-15,3.2475,,15628732.840425,binance
2021-01-16,3.4247,,29324163.717861004,binance
2021-01-17,3.8268,,32649874.192908,binance
2021-01-18,3.7868,,23580118.719035998,binance
2021-01-19,3.6287,,17304253.429399,binance
2021-01-20,3.7166,,17845776.264648,binance
2021-01-21,2.9899,,13113218.889938,binance
2021-01-22,3.3352,,21617107.63828,binance
2021-01-23,3.5079,,7961020.1421300005,binance
2021-01-24,3.6278,,8916260.530826,binance
2021-01-25,3.7038,,25154514.481854003,binance
2021-01-26,4.041,,26744566.059900004,binance
2021-01-27,3.675,,9157209.988499999,binance
2021-01-28,3.81,,7831169.2881000005,binance
2021-01-29,3.8293,,11457912.215597998,binance
2021-01-30,4.228,,16678001.509119999,binance
2021-01-31,4.2525,,23128796.716200005,binance
2021-02-01,4.6148,,9677477.738556,binance
2021-02-02,5.2331,,27625129.910391003,binance
2021-02-03,5.7311,,22795213.670192,binance
2021-02-04,6.4085,,35947727.046315,binance
2021-02-05,6.7005,,28380138.545745,binance
2021-02-06,6.1225,,30858675.010624997,binance
2021-02-07,6.6976,,34231881.602464,binance
2021-02-08,7.855,,52778931.7334,binance
2021-02-09,7.8005,,37469618.830685005,binance
2021-02-10,9.09,,40172544.0711,binance
2021-02-11,9.2004,,52395162.63550799,binance
2021-02-12,9.2,,26378781.327999998,binance
2021-02-13,8.7441,,30494862.325788,binance
2021-02-14,8.7158,,25188217.842832,binance
2021-02-15,8.8516,,30315811.115404,binance
2021-02-16,8.3002,,18735358.270538,binance
2021-02-17,8.2357,,27438432.350208,binance
2021-02-18,8.9771,,22261943.934549,binance
2021-02-19,11.4912,,81660179.547072,binance
2021-02-20,9.9869,,47251263.350753,binance
2021-02-21,11.0753,,40915094.815795,binance
2021-02-22,14.4191,,212129052.43228,binance
2021-02-23,15.2244,,370049149.778544,binance
2021-02-24,17.1691,,185040743.567225,binance
2021-02-25,13.8442,,131801960.623264,binance
2021-02-26,13.5962,,109170866.961954,binance
2021-02-27,13.1916,,82216161.41720401,binance
2021-02-28,13.0887,,94648902.029325,binance
2021-03-01,14.9855,,82588810.80023,binance
2021-03-02,13.9438,,57565947.992617995,binance
2021-03-03,14.0742,,46125768.752406,binance
2021-03-04,13.0508,,36077270.926396005,binance
2021-03-05,12.5382,,25946441.37075,binance
2021-03-06,13.0421,,39930661.475083,binance
2021-03-07,13.8174,,41444161.72755,binance
2021-03-08,13.6028,,28792836.188656002,binance
2021-03-09,14.839,,38499650.4651,binance
2021-03-10,14.2048,,27613081.465280004,binance
2021-03-11,16.031,,66139779.13966999,binance
2021-03-12,14.5597,,53556231.296285994,binance
2021-03-13,15.3033,,40283188.318221,binance
2021-03-14,14.4605,,25309416.95487,binance
2021-03-15,14.1577,,28612002.823961,binance
2021-03-16,13.6392,,34120606.837608,binance
2021-03-17,14.2018,,24185758.563808,binance
2021-03-18,14.204,,22395044.96884,binance
2021-03-19,14.1552,,20691537.567408003,binance
2021-03-20,14.1894,,19768807.730664,binance
2021-03-21,14.3372,,17087803.576504,binance
2021-03-22,14.7964,,75505904.022456,binance
2021-03-23,14.1552,,28373071.157136,binance
2021-03-24,13.5973,,31509563.374756005,binance
2021-03-25,12.9787,,29751373.81797,binance
2021-03-26,14.7664,,43889901.528528005,binance
2021-03-27,16.4589,,66722631.01893,binance
2021-03-28,18.0645,,130077541.743105,binance
