date,price,market_cap,total_volume,source
2024-09-16,2733.2145605923356,9442026850.381037,34471170.07784939,coingecko
2024-09-17,2704.9931802359906,9353048000.701542,80311617.00636525,coingecko
2024-09-18,2754.3120823807294,9545148987.284145,57669423.64943985,coingecko
2024-09-19,2779.0987146621537,9604563383.21038,103402689.15617448,coingecko
2024-09-20,2910.1346376762644,10098845905.985249,133385686.21657297,coingecko
2024-09-21,3011.8479747687197,10462322232.598804,56211224.30405258,coingecko
2024-09-22,3082.8093526554294,10686814794.411861,85926185.79366004,coingecko
2024-09-23,3043.5752767310896,10531576067.91752,59884546.88537103,coingecko
2024-09-24,3126.2837930192027,10824707991.978895,53569613.160031766,coingecko
2024-09-25,3131.022830844294,10878592028.893627,79831761.30860859,coingecko
2024-09-26,3037.7426828605926,10624426052.422478,88871035.72237194,coingecko
2024-09-27,3099.4558525688562,10910612991.803238,103136403.8008926,coingecko
2024-09-28,3188.770176453806,11208570130.691843,84307184.13231532,coingecko
2024-09-29,3155.6490591797515,11114924234.994307,72615396.04606056,coingecko
2024-09-30,3136.442202439876,11034361487.868427,45395763.49563382,coingecko
2024-10-01,3060.7392171352426,10746231873.250856,50428758.07945167,coingecko
2024-10-02,2884.3325863053874,10139932078.535439,87788543.5956683,coingecko
2024-10-03,2792.5553352786433,9821254028.299967,64598988.71791277,coingecko
2024-10-04,2772.209293554113,9708102752.727022,82416882.59583668,coingecko
2024-10-05,2852.13480635472,9997225407.614613,82723968.90642619,coingecko
2024-10-06,2850.4528004722233,9995420911.700514,26116308.182380144,coingecko
2024-10-07,2869.530569003386,10068796695.382132,31757509.812903386,coingecko
2024-10-08,2862.8486827161896,10033423678.71559,59942038.43925774,coingecko
2024-10-09,2883.5906453769894,10093925520.70502,117164664.28320864,coingecko
2024-10-10,2791.960200271208,9760365198.843494,95111153.39042836,coingecko
2024-10-11,2812.1341823464154,9853427160.345291,37966940.44011418,coingecko
2024-10-12,2882.4627762683435,10141110988.827757,70809539.3756352,coingecko
2024-10-13,2930.172660235477,10315794552.720924,92953161.76909804,coingecko
2024-10-14,2914.205255279548,10283873801.339897,31647083.121881783,coingecko
2024-10-15,3108.071114337643,10992726796.20938,196767666.50669962,coingecko
2024-10-16,3065.912911340381,10845871884.215752,56855884.96357443,coingecko
2024-10-17,3087.7742246790262,10941183200.385483,119178473.37073708,coingecko
2024-10-18,3074.5989636130334,10899961800.047335,39732355.00345706,coingecko
2024-10-19,3122.752528441215,11094766768.248405,92439633.04910116,coingecko
2024-10-20,3131.1957894263755,11117058575.563215,85355723.8672944,coingecko
2024-10-21,3245.9116748597344,11515776915.853817,66070607.37838475,coingecko
2024-10-22,3151.537009597925,11216373052.54315,112417804.11788023,coingecko
2024-10-23,3097.671108984992,11076772510.967474,87307973.85728459,coingecko
2024-10-24,2977.2798007090987,10623617350.136541,37923255.05387736,coingecko
2024-10-25,2991.264690041026,10683159562.807981,132090163.46977389,coingecko
2024-10-26,2879.608231764231,10290336008.303476,56778532.48334206,coingecko
2024-10-27,2935.096410693773,10500527674.496712,64533214.3143033,coingecko
2024-10-28,2967.7939522120655,10622745111.865494,63032134.76977957,coingecko
2024-10-29,3036.4685546612177,10834185659.613935,65652600.46290697,coingecko
2024-10-30,3117.7142081819793,11152120165.580719,124867239.88555327,coingecko
2024-10-31,3147.192916558097,11288386301.370335,70842476.92188741,coingecko
2024-11-01,2982.7733370012966,10720528261.215689,81627879.58021204,coingecko
2024-11-02,2969.2474102103765,10672084490.375006,93736830.92355426,coingecko
2024-11-03,2945.6842315641725,10537091000.30015,93716254.54592848,coingecko
2024-11-04,2911.471306851977,10427667166.409159,49721493.79869658,coingecko
2024-11-05,2836.466333196656,10184135111.87962,20264517.928402625,coingecko
2024-11-06,2870.91247817848,10337633405.502838,68695040.14590159,coingecko
2024-11-07,3220.3708327981567,11605210377.694487,80828590.69707438,coingecko
2024-11-08,3421.5453369706656,12452941657.480722,119729526.28155762,coingecko
2024-11-09,3512.695901525209,12674329859.770966,235335224.4387627,coingecko
2024-11-10,3711.511250749942,13461580832.5279,47865903.38453991,coingecko
2024-11-11,3776.686239742405,13663425171.11715,89606738.0445168,coingecko
2024-11-12,3966.9514592874693,14466699364.038479,87205301.81599419,coingecko
2024-11-13,3864.6185670721525,14021011903.062277,108895852.53302398,coingecko
2024-11-14,3767.5166940895992,13673246278.042284,69023521.92347334,coingecko
2024-11-15,3644.10841256329,13033311609.134453,82506438.33812179,coingecko
2024-11-16,3666.028726391333,13206027824.384323,57282820.771572515,coingecko
2024-11-17,3727.97351253363,13356101077.737751,74530014.8970888,coingecko
2024-11-18,3643.5514504199696,13105430188.709658,56535237.61987021,coingecko
2024-11-19,3751.4125047653893,13513096206.05378,106484898.1362003,coingecko
2024-11-20,3671.40500952024,13261679018.741762,82795494.30318598,coingecko
2024-11-21,3642.8382390455977,13204752432.659779,73539006.2967524,coingecko
2024-11-22,3988.5551957062007,14394196892.983358,164050516.5612964,coingecko
2024-11-23,3935.9322033622343,14277195098.359875,32155206.56316902,coingecko
2024-11-24,4032.831016852453,14624650797.913809,61180562.32826516,coingecko
2024-11-25,3993.3790481912083,14448675136.713556,33704048.673322305,coingecko
2024-11-26,4054.1570290352247,14743895861.98301,56863676.31610385,coingecko
2024-11-27,3948.640768036055,14260955442.04686,77502512.53979816,coingecko
2024-11-28,4340.136993777743,15793816125.37333,58570698.75703431,coingecko
2024-11-29,4242.734067811917,15418817288.309498,64172498.71988323,coingecko
2024-11-30,4271.173651097514,15333496354.635468,69624869.0219304,coingecko
2024-12-01,4396.174177478121,15723735604.52302,95594352.62572889,coingecko
2024-12-02,4393.629450301974,15746748069.282911,82754209.61574166,coingecko
2024-12-03,4291.714586407809,15530018535.148956,120525323.49139266,coingecko
2024-12-04,4283.323339774782,15236960331.405304,102619919.67364903,coingecko
2024-12-05,4556.789361011727,16214442659.94728,129828826.12094419,coingecko
2024-12-06,4503.555650850865,16041597703.989697,124757467.4458247,coingecko
2024-12-07,4755.64544118978,16956189957.627872,70209401.82236886,coingecko
2024-12-08,4742.244302221867,16938179164.781147,82207794.10671477,coingecko
2024-12-09,4770.375935924121,17026668462.236704,91860708.28813124,coingecko
2024-12-10,4387.539185094304,15710105824.857313,107111753.07127814,coingecko
2024-12-11,4320.974785993374,15072036812.729504,174716853.40574563,coingecko
2024-12-12,4543.311260497452,15872402907.656153,109612952.24210823,coingecko
2024-12-13,4590.304061552643,16030125875.08016,220321794.9635358,coingecko
2024-12-14,4631.5795776708455,16252192415.594316,128867070.84840824,coingecko
2024-12-15,4586.610178158464,16117300820.755816,97578448.59201244,coingecko
2024-12-16,4655.258224728394,16322633269.06312,175816975.56872985,coingecko
2024-12-17,4750.6368878228395,16743600714.340471,192865610.68582928,coingecko
2024-12-18,4596.391466824173,16150098767.025854,77316302.05451882,coingecko
2024-12-19,4321.353302409122,15259890057.129246,63664560.967425995,coingecko
2024-12-20,4079.020037455617,14415076247.203842,186597361.6849942,coingecko
2024-12-21,4117.739957142381,14504617281.482924,201241812.88620558,coingecko
2024-12-22,3950.435428187143,13893955844.35401,60625154.11228741,coingecko
2024-12-23,3887.8226944985854,13708540591.509792,94922749.57527347,coingecko
2024-12-24,4054.3388520381327,14203492527.532803,90314671.35220626,coingecko
2024-12-25,4145.201942373256,14566834637.369125,111495522.60791859,coingecko
2024-12-26,4149.522328037285,14586112319.902668,103259606.4933996,coingecko
2024-12-27,4003.785122331457,13917222401.377796,43071610.72000044,coingecko
2024-12-28,3947.3412993485767,13834835701.93377,70877125.13933258,coingecko
2024-12-29,4034.2330903962547,14122898784.425026,63055408.32409109,coingecko
2024-12-30,3968.456709386835,13921075562.59785,43106974.06347913,coingecko
2024-12-31,3982.789012577715,13986333556.912706,71352109.64781734,coingecko
2025-01-01,3971.5212212582483,13913658520.237444,55961855.02777677,coingecko
2025-01-02,3984.555750942727,13979599726.398386,24829092.34968395,coingecko
2025-01-03,4092.2534676495325,14405003226.765211,53204566.43780329,coingecko
2025-01-04,4289.2643740660205,15109972690.095188,45893946.212176,coingecko
2025-01-05,4341.599278613364,15296004337.979782,43936451.85612626,coingecko
2025-01-06,4325.768938923004,15241782089.815693,40149747.283151686,coingecko
2025-01-07,4379.988070195336,15410557473.060032,12717339.121737788,coingecko
2025-01-08,4025.4941453400147,14163689187.682734,43310765.28146731,coingecko
2025-01-09,3938.0799804961207,13876555420.979322,52183620.634736866,coingecko
2025-01-10,3827.071960938149,13498174853.520855,56145214.748561114,coingecko
2025-01-11,3887.5559416871915,13693121250.254492,52520943.108531326,coingecko
2025-01-12,3912.7533434606075,13769441484.276814,44198674.190840445,coingecko
2025-01-13,3862.3970787743638,13592869706.650183,18172563.041490622,coingecko
2025-01-14,3722.598921088814,13114169231.52588,87437898.87762643,coingecko
2025-01-15,3840.965199446314,13408082181.163166,45343160.10823586,coingecko
2025-01-16,4095.8885477364684,14221885081.82769,63600594.63660359,coingecko
2025-01-17,3919.8036543358353,13601393398.439594,51080300.50503872,coingecko
2025-01-18,4154.497007805485,14391053609.851719,43389229.10803,coingecko
2025-01-19,3903.1784460899826,13467848310.760563,85659095.45538458,coingecko
